SourceFile,AccelerationVector,Aperture,ApertureValue,ApplicationRecordVersion,AudioBitsPerSample,AudioChannels,AudioCodec,AudioFormat,AudioSampleCount,AudioSampleRate,AverageFrameRate,AvgBitrate,AvgBytesPerSec,Balance,BitDepth,BitDepthChroma,BitDepthLuma,BitsPerSample,BlueMatrixColumn,BlueTRC,BMPVersion,BrightnessValue,CameraIdentifier,CharacterSet,ChromaFormat,ChromaticAdaptation,CircleOfConfusion,CleanApertureDimensions,CMMFlags,CodedCharacterSet,CodeSize,ColorComponents,ColorRepresentation,ColorSpace,ColorSpaceData,Comment,CompanyName,CompatibleBrands,ComponentsConfiguration,Compression,CompressorID,CompressorName,ConnectionSpaceIlluminant,ConstantFrameRate,ConstraintIndicatorFlags,ContentCreateDate,CreateDate,CreationDate,CreationDate-und-AU,CurrentIPTCDigest,CurrentTime,DateCreated,DateTimeCreated,DateTimeOriginal,DeviceAttributes,DeviceManufacturer,DeviceModel,Directory,Duration,EncodedPixelsDimensions,EncoderVendor,EncoderVersion,Encoding,EncodingProcess,EntryPoint,Error,ExifByteOrder,ExifImageHeight,ExifImageWidth,ExifToolVersion,ExifVersion,ExposureCompensation,ExposureMode,ExposureProgram,ExposureTime,FileAccessDate,FileCreateDate,FileDescription,FileFlags,FileFlagsMask,FileModifyDate,FileName,FileOS,FilePermissions,FileSize,FileSubtype,FileType,FileTypeExtension,FileVersion,FileVersionNumber,Flash,FlashpixVersion,FNumber,FocalLength,FocalLength35efl,FocalLengthIn35mmFormat,FOV,FrameCount,FrameRate,FrameReadoutTime,GeneralLevelIDC,GeneralProfileIDC,GeneralProfileSpace,GeneralTierFlag,GenProfileCompatibilityFlags,GPSAltitude,GPSAltitudeRef,GPSCoordinates,GPSCoordinates-und-AU,GPSDateStamp,GPSDestBearing,GPSDestBearingRef,GPSDOP,GPSHPositioningError,GPSImgDirection,GPSImgDirectionRef,GPSLatitude,GPSLatitudeRef,GPSLongitude,GPSLongitudeRef,GPSPosition,GPSSpeed,GPSSpeedRef,GPSTimeStamp,GraphicsMode,GreenMatrixColumn,GreenTRC,HandlerClass,HandlerDescription,HandlerType,HandlerVendorID,HEVCConfigurationVersion,HostComputer,HyperfocalDistance,ImageFileCharacteristics,ImageHeight,ImageLength,ImagePixelDepth,ImageSize,ImageSpatialExtent,ImageVersion,ImageWidth,InitializedDataSize,InternalName,IPTCDigest,ISO,JFIFVersion,LanguageCode,LayoutFlags,LegalCopyright,LegalTrademarks,LensID,LensInfo,LensMake,LensModel,LightValue,LinkerVersion,MachineType,MajorBrand,Make,Make-und-AU,MatrixStructure,MaxDataRate,MediaCreateDate,MediaDataOffset,MediaDataSize,MediaDuration,MediaGroupUUID,MediaHeaderVersion,MediaLanguageCode,MediaModifyDate,MediaTimeScale,MediaWhitePoint,Megapixels,MetaImageSize,MeteringMode,MIMEType,MinorVersion,MinSpatialSegmentationIDC,Model,Model-und-AU,ModifyDate,MovieHeaderVersion,NextTrackID,NumChannels,NumColors,NumImportantColors,NumTemporalLayers,ObjectFileType,OffsetTime,OffsetTimeDigitized,OffsetTimeOriginal,OpColor,Orientation,OriginalFileName,OSVersion,ParallelismType,PEType,PixelAspectRatio,PixelsPerMeterX,PixelsPerMeterY,Planes,PosterTime,PreferredRate,PreferredVolume,PreviewDuration,PreviewTime,PrimaryItemReference,PrimaryPlatform,ProductionApertureDimensions,ProductName,ProductVersion,ProductVersionNumber,ProfileClass,ProfileCMMType,ProfileConnectionSpace,ProfileCopyright,ProfileCreator,ProfileDateTime,ProfileDescription,ProfileDescriptionML,ProfileDescriptionML-da-DK,ProfileDescriptionML-de-DE,ProfileDescriptionML-es-ES,ProfileDescriptionML-fi-FI,ProfileDescriptionML-fr-FU,ProfileDescriptionML-it-IT,ProfileDescriptionML-ja-JP,ProfileDescriptionML-ko-KR,ProfileDescriptionML-nl-NL,ProfileDescriptionML-no-NO,ProfileDescriptionML-pt-BR,ProfileDescriptionML-sv-SE,ProfileDescriptionML-zh-CN,ProfileDescriptionML-zh-TW,ProfileFileSignature,ProfileID,ProfileVersion,PurchaseFileFormat,Quality,RedMatrixColumn,RedTRC,RenderingIntent,ResolutionUnit,Rotation,RunTimeEpoch,RunTimeFlags,RunTimeScale,RunTimeSincePowerUp,RunTimeValue,SampleRate,SampleSize,ScaleFactor35efl,SceneCaptureType,SceneType,SelectionDuration,SelectionTime,SensingMethod,Sharpness,ShutterSpeed,ShutterSpeedValue,Software,Software-und-AU,SoftwareVersion,SourceImageHeight,SourceImageWidth,StreamCount,StreamType,SubjectArea,SubSecCreateDate,SubSecDateTimeOriginal,SubSecModifyDate,SubSecTimeDigitized,SubSecTimeOriginal,Subsystem,SubsystemVersion,TemporalIDNested,ThumbnailImage,ThumbnailLength,ThumbnailOffset,TimeCreated,TimeScale,TimeStamp,TotalFrameCount,TrackCreateDate,TrackDuration,TrackHeaderVersion,TrackID,TrackLayer,TrackModifyDate,TrackVolume,UninitializedDataSize,UserComment,VideoCodec,VideoFrameCount,VideoFrameRate,WhiteBalance,XResolution,YCbCrPositioning,YCbCrSubSampling,YResolution
./blah.csv,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.,,,,,,,,File is empty,,,,12.29,,,,,,2021:08:12 17:31:19+10:00,2021:08:12 17:31:19+10:00,,,,2021:08:12 17:31:19+10:00,blah.csv,,-rw-rw-rw-,0 bytes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
./exiftool.exe,,,,,,,,,,,,,,,,,,,,,,,,Unicode,,,,,,,16896,,,,,,,,,,,,,,,,,,,,,,,,,,,.,,,,,,,0x14e0,,,,,12.29,,,,,,2021:08:12 15:59:45+10:00,2021:07:09 11:04:30+10:00,,(none),0x003f,2021:07:09 11:04:30+10:00,exiftool.exe,Windows NT 32-bit,-rw-rw-rw-,8.4 MiB,0,Win32 EXE,exe,12.2.9.0,12.2.9.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"No relocs, Executable, No line numbers, No symbols, 32-bit, No debug",,,,,,1.0,,2024960,exiftool.exe,,,,Neutral,,,,,,,,,2.23,"Intel 386 or later, and compatibles",,,,,,,,,,,,,,,,,,,application/octet-stream,,,,,,,,,,,,Executable application,,,,,,exiftool.exe,4.0,,PE32,,,,,,,,,,,,,,12.2.9.0,12.2.9.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Windows command line,4.0,,,,,,,2016:11:12 03:04:47+11:00,,,,,,,,,34304,,,,,,,,,
./out.csv,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.,,,,,,,,File is empty,,,,12.29,,,,,,2021:08:12 17:33:15+10:00,2021:08:12 17:32:59+10:00,,,,2021:08:12 17:33:13+10:00,out.csv,,-rw-rw-rw-,0 bytes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
./photo_organiser/exiftool.exe,,,,,,,,,,,,,,,,,,,,,,,,Unicode,,,,,,,16896,,,,,,,,,,,,,,,,,,,,,,,,,,,./photo_organiser,,,,,,,0x14e0,,,,,12.29,,,,,,2021:08:12 17:39:45+10:00,2021:08:10 22:46:38+10:00,,(none),0x003f,2021:07:09 11:04:30+10:00,exiftool.exe,Windows NT 32-bit,-rw-rw-rw-,8.4 MiB,0,Win32 EXE,exe,12.2.9.0,12.2.9.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"No relocs, Executable, No line numbers, No symbols, 32-bit, No debug",,,,,,1.0,,2024960,exiftool.exe,,,,Neutral,,,,,,,,,2.23,"Intel 386 or later, and compatibles",,,,,,,,,,,,,,,,,,,application/octet-stream,,,,,,,,,,,,Executable application,,,,,,exiftool.exe,4.0,,PE32,,,,,,,,,,,,,,12.2.9.0,12.2.9.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Windows command line,4.0,,,,,,,2016:11:12 03:04:47+11:00,,,,,,,,,34304,,,,,,,,,
./sample_data/input/IMG_0118.jpg,,2.8,2.8,,,,,,,,,,,,,,,8,0.15662 0.08336 0.71953,"(Binary data 14 bytes, use -b option to extract)",,,,,,1.04788 0.02292 -0.0502 0.02957 0.99049 -0.01706 -0.00923 0.01508 0.75165,,,"Not Embedded, Independent",,,3,,sRGB,"RGB ","AppleMark
",,,"Y, Cb, Cr, -",JPEG (old-style),,,0.9642 1 0.82491,,,,2010:10:17 00:39:08,,,,,,,2010:10:17 00:39:08,"Reflective, Glossy, Positive, Color",Apple Computer Inc.,,./sample_data/input,,,,,,"Baseline DCT, Huffman coding",,,"Big-endian (Motorola, MM)",1536,2048,12.29,0220,,Auto,Program AE,1/15,2021:08:12 16:00:39+10:00,2021:08:07 20:02:03+10:00,,,,2010:10:17 01:21:57+11:00,IMG_0118.jpg,,-rw-rw-rw-,1335 KiB,,JPEG,jpg,,,No flash function,0100,2.8,3.9 mm,3.9 mm,,,,,,,,,,,35 m Above Sea Level,Above Sea Level,,,,,,5,,344.5797101,True North,"37 deg 48' 20.40"" S",South,"144 deg 58' 37.80"" E",East,"37 deg 48' 20.40"" S, 144 deg 58' 37.80"" E",,,00:39:07.08,,0.35332 0.67441 0.09042,"(Binary data 14 bytes, use -b option to extract)",,,,,,Mac OS X 10.6.3,,,2048,,,1536x2048,,,1536,,,,494,,,,,,,,,,4.6,,,,Apple,,,,,,,,,,,,,0.95047 1 1.0891,3.1,,Average,image/jpeg,,,iPhone 3GS,,2010:10:17 01:21:57,,,,,,,,,,,,Horizontal (normal),,,,,,,,,,,,,,,Apple Computer Inc.,,,,,Input Device Profile,Apple Computer Inc.,"XYZ ","Copyright 2003 Apple Computer Inc., all rights reserved.",Apple Computer Inc.,2003:07:01 00:00:00,Camera RGB Profile,Camera RGB Profile,RGB-beskrivelse til Kamera,RGB-Profil für Kameras,Perfil RGB para Cámara,Kameran RGB-profiili,Profil RVB de l’appareil-photo,Profilo RGB Fotocamera,カメラ RGB プロファイル,카메라 RGB 프로파일,RGB-profiel Camera,RGB-kameraprofil,Perfil RGB de Câmera,RGB-profil för Kamera,相机 RGB 描述文件,數位相機 RGB 色彩描述,acsp,0,2.2.0,,,0.45427 0.24263 0.01482,"(Binary data 14 bytes, use -b option to extract)",Perceptual,inches,,,,,,,,,,,,,,One-chip color area,Normal,1/15,1/15,QuickTime 7.6.6,,,,,,,,,,,,,,,,"(Binary data 5817 bytes, use -b option to extract)",5817,934,,,,,,,,,,,,,,,,,Auto,72,Centered,YCbCr4:2:2 (2 1),72
./sample_data/input/IMG_1516.MOV,,,,,16,1,,mp4a,,44100,,21.1 Mbps,,0,24,,,,,,,,Back,,,,,1920x1080,,,,,,,,,,"qt  ",,,avc1,H.264,,,,2012:12:16 18:31:10+11:00,2012:12:16 07:31:10,2012:12:16 18:31:10+11:00,2012:12:16 18:31:10+11:00,,0 s,,,,,,,./sample_data/input,0:00:41,1920x1080,,,,,,,,,,12.29,,,,,,2021:08:12 16:00:39+10:00,2021:08:07 20:02:10+10:00,,,,2012:12:16 18:31:54+11:00,IMG_1516.MOV,,-rw-rw-rw-,103 MiB,,MOV,mov,,,,,,,,,,,,28512 microseconds,,,,,,45.562 m,Above Sea Level,"37 deg 47' 56.76"" S, 144 deg 57' 19.08"" E, 45.562 m Above Sea Level","37 deg 47' 56.76"" S, 144 deg 57' 19.08"" E, 45.562 m Above Sea Level",,,,,,,,"37 deg 47' 56.76"" S",,"144 deg 57' 19.08"" E",,"37 deg 47' 56.76"" S, 144 deg 57' 19.08"" E",,,,ditherCopy,,,Data Handler,Core Media Data Handler,Metadata Tags,Apple,,,,,1080,,,1920x1080,,,1920,,,,,,,Mono,,,,,,,,,,Apple QuickTime (.MOV/QT),Apple,Apple,1 0 0 0 1 0 0 0 1,,2012:12:16 07:31:10,36,107884489,0:00:41,,0,und,2012:12:16 07:31:23,44100,,2.1,,,video/quicktime,0.0.0,,iPhone 4S,iPhone 4S,2012:12:16 07:31:23,0,3,,,,,,,,,32768 32768 32768,,,,,,,,,,0 s,1,100.00%,0 s,0 s,,,1920x1080,,,,,,,,,,,,,,,,,,,,,,,,,,,,,mp4a,,,,,,90,,,,,,,,,,,0 s,0 s,,,,,6.0.1,6.0.1,6.0.1,1080,1920,,,,,,,,,,,,,,,,600,,,2012:12:16 07:31:10,0:00:41,0,1,0,2012:12:16 07:31:23,0.00%,,,,,29.969,,72,,,72
./sample_data/input/IMG_4156.MP4,,,,,16,2,,mp4a,,44100,,3.74 Mbps,,0,24,,,,,,,,,,,,,,,,,,nclx 1 1 1,,,,,"mp41, mp42, isom",,,avc1,,,,,,2019:06:27 07:56:16,,,,0 s,,,,,,,./sample_data/input,20.67 s,,,,,,,,,,,12.29,,,,,,2021:08:12 16:11:53+10:00,2021:08:11 08:53:04+10:00,,,,2019:06:27 17:56:16+10:00,IMG_4156.MP4,,-rw-rw-rw-,9.2 MiB,,MP4,mp4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,srcCopy,,,,Core Media Audio,Audio Track,,,,,,720,,,720x720,,,720,,,,,,,,,,,,,,,,,MP4 v2 [ISO 14496-14],,,1 0 0 0 1 0 0 0 1,,2019:06:27 07:56:16,10668,9653189,20.71 s,,0,und,2019:06:27 07:56:16,44100,,0.518,,,video/mp4,0.0.1,,,,2019:06:27 07:56:16,0,3,,,,,,,,,0 0 0,,,,,,1:1,,,,0 s,1,100.00%,0 s,0 s,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,0 s,0 s,,,,,,,,720,720,,,,,,,,,,,,,,,,600,,,2019:06:27 07:56:16,20.67 s,0,1,0,2019:06:27 07:56:16,100.00%,,,,,29.808,,72,,,72
./sample_data/input/IMG_5616.PNG,,,,2,,,,,,,,,,,,,,8,0.1571 0.06657 0.78407,"(Binary data 32 bytes, use -b option to extract)",,,,,,1.04788 0.02292 -0.0502 0.02959 0.99048 -0.01706 -0.00923 0.01508 0.75168,,,"Not Embedded, Independent",UTF8,,3,,,"RGB ",,,,,,,,0.9642 1 0.82491,,,,,,,f965f60664d3a0aa81beae811d2f5412,,2019:12:05,2019:12:05 21:22:22,2019:12:05 21:22:22,"Reflective, Glossy, Positive, Color",Apple Computer Inc.,,./sample_data/input,,,,,,"Baseline DCT, Huffman coding",,,"Big-endian (Motorola, MM)",757,750,12.29,,,,,,2021:08:12 16:00:38+10:00,2021:08:09 18:37:40+10:00,,,,2019:12:05 21:22:22+11:00,IMG_5616.PNG,,-rw-rw-rw-,296 KiB,,JPEG,jpg,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.29198 0.69225 0.04189,"(Binary data 32 bytes, use -b option to extract)",,,,,,,,,757,,,750x757,,,750,,,f965f60664d3a0aa81beae811d2f5412,,1.01,,,,,,,,,,,,,,,,,,,,,,,,,,0.95045 1 1.08905,0.568,,,image/jpeg,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Apple Computer Inc.,,,,,Display Device Profile,Apple Computer Inc.,"XYZ ","Copyright Apple Inc., 2017",Apple Computer Inc.,2017:07:07 13:22:32,Display P3,,,,,,,,,,,,,,,,acsp,ca1a9582257f104d389913d5d1ea1582,4.0.0,,,0.51512 0.2412 -0.00105,"(Binary data 32 bytes, use -b option to extract)",Perceptual,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,21:22:22,,,,,,,,,,,,Screenshot,,,,,72,,YCbCr4:2:0 (2 2),72
./sample_data/input/IMG_9741.HEIC,0.9974484446 0.01308892201 -0.08361914753,1.8,1.8,,,,,,,,0,,,,,8,8,,0.1571 0.06657 0.78407,"(Binary data 32 bytes, use -b option to extract)",,10.05694277,,,4:2:0,1.04788 0.02292 -0.0502 0.02959 0.99048 -0.01706 -0.00923 0.01508 0.75168,0.004 mm,,"Not Embedded, Independent",,,,,Uncalibrated,"RGB ",,,"mif1, miaf, MiHB, heic","Y, Cb, Cr, -",,,,0.9642 1 0.82491,Unknown,176 0 0 0 0 0,,2021:03:02 15:55:54,,,,,,,2021:03:02 15:55:54,"Reflective, Glossy, Positive, Color",Apple Computer Inc.,,./sample_data/input,,,,,,,,,"Big-endian (Motorola, MM)",3024,4032,12.29,0231,0,Auto,Program AE,1/1715,2021:08:12 16:11:54+10:00,2021:08:09 18:35:18+10:00,,,,2021:03:02 15:55:53+11:00,IMG_9741.HEIC,,-rw-rw-rw-,1143 KiB,,HEIC,heic,,,"Off, Did not fire",0100,1.8,4.0 mm,4.0 mm (35 mm equivalent: 28.0 mm),28 mm,65.5 deg,,,,90 (level 3.0),Main Still Picture,Conforming,Main Tier,"Main Still Picture, Main 10, Main",62.7 m Above Sea Level,Above Sea Level,,,2021:03:02,200.7297668,True North,,5 m,200.7297668,True North,"37 deg 46' 9.36"" S",South,"144 deg 58' 50.13"" E",East,"37 deg 46' 9.36"" S, 144 deg 58' 50.13"" E",0,km/h,,,0.29198 0.69225 0.04189,"(Binary data 32 bytes, use -b option to extract)",,,Picture,,1,,2.07 m,,3024,,8 8 8,4032x3024,4032x3024,,4032,,,,20,,,,,,iPhone 8 back camera 3.99mm f/1.8,3.99mm f/1.8,Apple,iPhone 8 back camera 3.99mm f/1.8,14.8,,,High Efficiency Image Format HEVC still image (.HEIC),Apple,,,,,3428,1166896,,5FF3B203-80B2-4E13-89C7-2BC681B3FCBF,,,,,0.95045 1 1.08905,12.2,4032x3024,Multi-segment,image/heic,0.0.0,0,iPhone 8,,2021:03:02 15:55:54,,,,,,1,,+11:00,+11:00,+11:00,,Rotate 180,,,0,,,,,,,,,,,49,Apple Computer Inc.,,,,,Display Device Profile,Apple Computer Inc.,"XYZ ","Copyright Apple Inc., 2017",Apple Computer Inc.,2017:07:07 13:22:32,Display P3,,,,,,,,,,,,,,,,acsp,ca1a9582257f104d389913d5d1ea1582,4.0.0,,,0.51512 0.2412 -0.00105,"(Binary data 32 bytes, use -b option to extract)",Perceptual,inches,180,0,Valid,1000000000,2 days 5:20:03,192003333124541,,,7.0,Standard,Directly photographed,,,One-chip color area,,1/1715,1/1715,13.5.1,,,,,,,2015 1511 2217 1330,2021:03:02 15:55:54.091+11:00,2021:03:02 15:55:54.091+11:00,2021:03:02 15:55:54+11:00,091,091,,,No,,,,,,,,,,,,,,,,,,,,Auto,72,Centered,,72
./sample_data/input/invalid/._IMG_0095.jpg,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,./sample_data/input/invalid,,,,,,,,,,,,12.29,,,,,,2021:08:12 16:11:54+10:00,2021:08:07 20:02:02+10:00,,,,2013:06:07 09:57:33+10:00,._IMG_0095.jpg,,-rw-rw-rw-,4.0 KiB,,MacOS,jpg,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,application/unknown,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
